Item,Quantity,Unit,Assumed unit USD,Assumed total USD,Notes
Main Coroplast sheets,2,4x8 ft 4 mm sheet,30,60,Four identical pentagons
Shared corner sheet allocation,0.0625,sheet,30,1.875,64 triangles per sheet;4 per gate
1 inch Sch40 PVC,4,10 ft stick,13.5,54,Single backing frame legs and short feet
3/4 inch Sch40 PVC,1,10 ft stick,10,10,Four corner braces
1 inch elbows,2,each,,,Included in fitting allowance
1 inch tees,4,each,,,Included in fitting allowance
1 inch caps,4,each,,,Included in fitting allowance
All fittings allowance,10,each aggregate,,24,Measure actual engagement
PETG prints,1,lot,,22,24 saddles;24 washers;4 plus45 and4 minus45 joints
UV ties and retaining screws,1,lot,,20,100 working ties plus spares;16 socket screws
Tape,1,share,,8,Seam finish
Guy cord and adjustment,16,m,,12,Four approximately4 m lines
Ground anchors,4,each,5,20,Verify actual holding
TOTAL ALLOCATED,,,,231.875,Before tax shipping labor tools and fill
FIRST GATE CASH,,,,260,Includes whole third corner sheet with60 corners left over
