name,length_mm,sleeve_count,sleeves_from_cut_start_mm,maximum_magnet_gap_mm
N00_N10,84.8,0,[],154.8
N10_N20,1080.0,2,"[367.333, 712.667]",345.333
N20_N30,84.8,0,[],154.8
N01_N11,84.8,0,[],268.8
N11_N21,1080.0,2,"[367.333, 712.667]",345.333
N21_N31,84.8,0,[],268.8
N02_N12,84.8,0,[],268.8
N12_N22,1080.0,2,"[367.333, 712.667]",345.333
N22_N32,84.8,0,[],268.8
N03_N13,84.8,0,[],82.8
N13_N23,1080.0,2,"[367.333, 712.667]",345.333
N23_N33,84.8,0,[],82.8
N00_N01,84.8,0,[],154.8
N01_N02,1080.0,2,"[367.333, 712.667]",345.333
N02_N03,84.8,0,[],82.8
N10_N11,84.8,0,[],268.8
N11_N12,1080.0,2,"[367.333, 712.667]",345.333
N12_N13,84.8,0,[],268.8
N20_N21,84.8,0,[],268.8
N21_N22,1080.0,2,"[367.333, 712.667]",345.333
N22_N23,84.8,0,[],268.8
N30_N31,84.8,0,[],154.8
N31_N32,1080.0,2,"[367.333, 712.667]",345.333
N32_N33,84.8,0,[],82.8
