x_mm,y_mm
18.0,18.0
477.6,18.0
591.6,18.0
1427.6,18.0
1541.6,18.0
2001.2,18.0
18.0,591.6
18.0,477.6
591.6,591.6
1427.6,591.6
2001.2,477.6
2001.2,591.6
18.0,1541.6
18.0,1427.6
591.6,1427.6
1427.6,1427.6
2001.2,1427.6
2001.2,1541.6
90.0,2001.2
18.0,1929.2
18.0,2001.2
591.6,2001.2
477.6,2001.2
1541.6,2001.2
1427.6,2001.2
2001.2,1929.2
1929.2,2001.2
2001.2,2001.2
247.8,18.0
870.2667,18.0
1148.9333,18.0
1771.4,18.0
304.8,591.6
870.2667,591.6
1148.9333,591.6
1714.4,591.6
304.8,1427.6
870.2667,1427.6
1148.9333,1427.6
1714.4,1427.6
283.8,2001.2
870.2667,2001.2
1148.9333,2001.2
1735.4,2001.2
18.0,247.8
18.0,870.2667
18.0,1148.9333
18.0,1735.4
591.6,304.8
591.6,870.2667
591.6,1148.9333
591.6,1714.4
1427.6,304.8
1427.6,870.2667
1427.6,1148.9333
1427.6,1714.4
2001.2,247.8
2001.2,870.2667
2001.2,1148.9333
2001.2,1735.4
