pair,x_from_left_mm,y_from_bottom_mm,frame_skin_mm,front
1,18.0,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
2,18.0,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
3,18,477.6,0.4,Bare 6 x 2 mm magnet; front pad optional
4,18,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
5,18.0,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
6,18.0,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
7,18.0,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
8,18.0,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
9,18,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
10,18,2222.4,0.4,Bare 6 x 2 mm magnet; front pad optional
11,18.0,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
12,18.0,2610.0,0.4,Bare 6 x 2 mm magnet; front pad optional
13,90.0,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
14,304.8,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
15,304.8,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
16,304.8,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
17,304.8,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
18,477.6,18,0.4,Bare 6 x 2 mm magnet; front pad optional
19,477.6,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
20,591.6,18,0.4,Bare 6 x 2 mm magnet; front pad optional
21,591.6,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
22,591.6,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
23,591.6,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
24,591.6,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
25,591.6,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
26,591.6,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
27,591.6,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
28,591.6,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
29,591.6,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
30,860.76,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
31,860.76,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
32,860.76,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
33,860.76,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
34,1186.9199,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
35,1186.9199,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
36,1186.9199,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
37,1186.9199,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
38,1513.08,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
39,1513.08,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
40,1513.08,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
41,1513.08,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
42,1839.24,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
43,1839.24,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
44,1839.24,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
45,1839.24,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
46,2108.3999,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
47,2108.3999,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
48,2108.3999,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
49,2108.3999,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
50,2108.3999,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
51,2108.3999,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
52,2108.4,18,0.4,Bare 6 x 2 mm magnet; front pad optional
53,2108.4,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
54,2108.4,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
55,2108.4,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
56,2222.4,18,0.4,Bare 6 x 2 mm magnet; front pad optional
57,2222.4,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
58,2395.1999,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
59,2395.1999,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
60,2395.2,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
61,2395.2,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
62,2610.0,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
63,2682.0,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
64,2682.0,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
65,2682.0,477.6,0.4,Bare 6 x 2 mm magnet; front pad optional
66,2682.0,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
67,2682.0,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
68,2682.0,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
69,2682.0,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
70,2682.0,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
71,2682.0,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
72,2682.0,2222.4,0.4,Bare 6 x 2 mm magnet; front pad optional
73,2682.0,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
74,2682.0,2610.0,0.4,Bare 6 x 2 mm magnet; front pad optional
