plate,runs,pieces_per_run,parts,grams_per_run,minutes_per_run,total_grams,total_minutes,project
Q_EDGE_PLAIN_FULL,21,3,EDGE_PLAIN x 3,73.25,170.26,1538.25,3575.46,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
Q_EDGE_PLAIN_TAIL,1,1,EDGE_PLAIN x 1,24.46,61.96,24.46,61.96,sliced/Q_EDGE_PLAIN_TAIL/Q_EDGE_PLAIN_TAIL_A1Mini_PETG.3mf
Q_EDGE_BRANCH_FULL,24,2,EDGE_BRANCH x 2,73.43,180.04,1762.32,4320.96,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
Q_RUNG_FULL,24,3,RUNG x 3,73.36,174.65,1760.64,4191.6,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
Q_CLICK_KEY_FULL,25,8,CLICK_KEY x 8,26.9,86.42,672.5,2160.5,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
Q_PAPER_PAD_FULL,3,36,PAPER_PAD x 36,53.56,139.79,160.68,419.37,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
Q_PAPER_PAD_TAIL,1,28,PAPER_PAD x 28,41.68,110.31,41.68,110.31,sliced/Q_PAPER_PAD_TAIL/Q_PAPER_PAD_TAIL_A1Mini_PETG.3mf
Q_PVC_HALF_33_FULL,3,10,PVC_HALF_33 x 10,72.29,199.8,216.87,599.4,sliced/Q_PVC_HALF_33_FULL/Q_PVC_HALF_33_FULL_A1Mini_PETG.3mf
Q_PVC_HALF_33_TAIL,1,2,PVC_HALF_33 x 2,14.52,46.37,14.52,46.37,sliced/Q_PVC_HALF_33_TAIL/Q_PVC_HALF_33_TAIL_A1Mini_PETG.3mf
Q_DOCK_SOCKET_FULL,1,12,DOCK_SOCKET x 12,106.7,256.0,106.7,256.0,sliced/Q_DOCK_SOCKET_FULL/Q_DOCK_SOCKET_FULL_A1Mini_PETG.3mf
Q_DOCK_SOCKET_TAIL,1,4,DOCK_SOCKET x 4,35.61,90.35,35.61,90.35,sliced/Q_DOCK_SOCKET_TAIL/Q_DOCK_SOCKET_TAIL_A1Mini_PETG.3mf
Q_DOCK_TONGUE_FULL,1,12,DOCK_TONGUE x 12,101.82,277.65,101.82,277.65,sliced/Q_DOCK_TONGUE_FULL/Q_DOCK_TONGUE_FULL_A1Mini_PETG.3mf
Q_DOCK_TONGUE_TAIL,1,4,DOCK_TONGUE x 4,33.99,100.07,33.99,100.07,sliced/Q_DOCK_TONGUE_TAIL/Q_DOCK_TONGUE_TAIL_A1Mini_PETG.3mf
Q_V_BLOCK_FULL,2,12,V_BLOCK x 12,194.42,440.85,388.84,881.7,sliced/Q_V_BLOCK_FULL/Q_V_BLOCK_FULL_A1Mini_PETG.3mf
Q_V_BLOCK_TAIL,1,8,V_BLOCK x 8,129.64,297.05,129.64,297.05,sliced/Q_V_BLOCK_TAIL/Q_V_BLOCK_TAIL_A1Mini_PETG.3mf
Q_CROSS_PLATE_FULL,2,4,CROSS_PLATE x 4,70.76,154.7,141.52,309.4,sliced/Q_CROSS_PLATE_FULL/Q_CROSS_PLATE_FULL_A1Mini_PETG.3mf
