piece,name,from_node,to_node,length_mm
1,N00_N10,N00,N10,389.6
2,N10_N20,N10,N20,1560.8
3,N20_N30,N20,N30,389.6
4,N01_N11,N01,N11,389.6
5,N11_N21,N11,N21,1560.8
6,N21_N31,N21,N31,389.6
7,N02_N12,N02,N12,389.6
8,N12_N22,N12,N22,1560.8
9,N22_N32,N22,N32,389.6
10,N03_N13,N03,N13,389.6
11,N13_N23,N13,N23,1560.8
12,N23_N33,N23,N33,389.6
13,N00_N01,N00,N01,389.6
14,N01_N02,N01,N02,1560.8
15,N02_N03,N02,N03,389.6
16,N10_N11,N10,N11,389.6
17,N11_N12,N11,N12,1560.8
18,N12_N13,N12,N13,389.6
19,N20_N21,N20,N21,389.6
20,N21_N22,N21,N22,1560.8
21,N22_N23,N22,N23,389.6
22,N30_N31,N30,N31,389.6
23,N31_N32,N31,N32,1560.8
24,N32_N33,N32,N33,389.6
