pair,x_from_left_mm,y_from_bottom_mm,frame_skin_mm,front
1,18,18,0.4,Bare 6 x 2 mm magnet; front pad optional
2,18.0,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
3,18,477.6,0.4,Bare 6 x 2 mm magnet; front pad optional
4,18,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
5,18.0,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
6,18.0,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
7,18.0,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
8,18.0,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
9,18,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
10,18,2222.4,0.4,Bare 6 x 2 mm magnet; front pad optional
11,18.0,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
12,18,2568.0,0.4,Bare 6 x 2 mm magnet; front pad optional
13,18,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
14,18.0,2951.1599,0.4,Bare 6 x 2 mm magnet; front pad optional
15,18.0,3277.3198,0.4,Bare 6 x 2 mm magnet; front pad optional
16,18.0,3603.48,0.4,Bare 6 x 2 mm magnet; front pad optional
17,18.0,3929.6399,0.4,Bare 6 x 2 mm magnet; front pad optional
18,18,4198.8,0.4,Bare 6 x 2 mm magnet; front pad optional
19,18,4312.8,0.4,Bare 6 x 2 mm magnet; front pad optional
20,18.0,4485.5996,0.4,Bare 6 x 2 mm magnet; front pad optional
21,18,4772.4,0.4,Bare 6 x 2 mm magnet; front pad optional
22,304.8,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
23,304.8,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
24,304.8,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
25,304.8,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
26,304.8,4198.7998,0.4,Bare 6 x 2 mm magnet; front pad optional
27,304.8,4772.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
28,477.6,18,0.4,Bare 6 x 2 mm magnet; front pad optional
29,477.6,4772.4,0.4,Bare 6 x 2 mm magnet; front pad optional
30,591.6,18,0.4,Bare 6 x 2 mm magnet; front pad optional
31,591.6,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
32,591.6,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
33,591.6,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
34,591.6,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
35,591.6,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
36,591.6,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
37,591.6,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
38,591.6,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
39,591.6,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
40,591.6,2951.1599,0.4,Bare 6 x 2 mm magnet; front pad optional
41,591.6,3277.3198,0.4,Bare 6 x 2 mm magnet; front pad optional
42,591.6,3603.48,0.4,Bare 6 x 2 mm magnet; front pad optional
43,591.6,3929.6399,0.4,Bare 6 x 2 mm magnet; front pad optional
44,591.6,4198.8,0.4,Bare 6 x 2 mm magnet; front pad optional
45,591.6,4485.5996,0.4,Bare 6 x 2 mm magnet; front pad optional
46,591.6,4772.4,0.4,Bare 6 x 2 mm magnet; front pad optional
47,860.76,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
48,860.76,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
49,860.76,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
50,860.76,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
51,860.76,4198.7998,0.4,Bare 6 x 2 mm magnet; front pad optional
52,860.76,4772.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
53,1186.9199,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
54,1186.9199,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
55,1186.9199,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
56,1186.9199,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
57,1186.9199,4198.7998,0.4,Bare 6 x 2 mm magnet; front pad optional
58,1186.9199,4772.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
59,1513.08,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
60,1513.08,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
61,1513.08,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
62,1513.08,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
63,1513.08,4198.7998,0.4,Bare 6 x 2 mm magnet; front pad optional
64,1513.08,4772.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
65,1839.24,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
66,1839.24,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
67,1839.24,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
68,1839.24,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
69,1839.24,4198.7998,0.4,Bare 6 x 2 mm magnet; front pad optional
70,1839.24,4772.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
71,2108.3999,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
72,2108.3999,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
73,2108.3999,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
74,2108.3999,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
75,2108.3999,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
76,2108.3999,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
77,2108.3999,2951.1599,0.4,Bare 6 x 2 mm magnet; front pad optional
78,2108.3999,3277.3198,0.4,Bare 6 x 2 mm magnet; front pad optional
79,2108.3999,3603.48,0.4,Bare 6 x 2 mm magnet; front pad optional
80,2108.3999,3929.6399,0.4,Bare 6 x 2 mm magnet; front pad optional
81,2108.3999,4485.5996,0.4,Bare 6 x 2 mm magnet; front pad optional
82,2108.4,18,0.4,Bare 6 x 2 mm magnet; front pad optional
83,2108.4,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
84,2108.4,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
85,2108.4,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
86,2108.4,4198.8,0.4,Bare 6 x 2 mm magnet; front pad optional
87,2108.4,4772.4,0.4,Bare 6 x 2 mm magnet; front pad optional
88,2222.4,18,0.4,Bare 6 x 2 mm magnet; front pad optional
89,2222.4,4772.4,0.4,Bare 6 x 2 mm magnet; front pad optional
90,2395.1999,18.0,0.4,Bare 6 x 2 mm magnet; front pad optional
91,2395.1999,2108.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
92,2395.1999,4198.7998,0.4,Bare 6 x 2 mm magnet; front pad optional
93,2395.2,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
94,2395.2,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
95,2395.2,4772.3999,0.4,Bare 6 x 2 mm magnet; front pad optional
96,2682.0,18,0.4,Bare 6 x 2 mm magnet; front pad optional
97,2682.0,304.8,0.4,Bare 6 x 2 mm magnet; front pad optional
98,2682.0,477.6,0.4,Bare 6 x 2 mm magnet; front pad optional
99,2682.0,591.6,0.4,Bare 6 x 2 mm magnet; front pad optional
100,2682.0,860.76,0.4,Bare 6 x 2 mm magnet; front pad optional
101,2682.0,1186.9199,0.4,Bare 6 x 2 mm magnet; front pad optional
102,2682.0,1513.08,0.4,Bare 6 x 2 mm magnet; front pad optional
103,2682.0,1839.24,0.4,Bare 6 x 2 mm magnet; front pad optional
104,2682.0,2108.4,0.4,Bare 6 x 2 mm magnet; front pad optional
105,2682.0,2222.4,0.4,Bare 6 x 2 mm magnet; front pad optional
106,2682.0,2395.2,0.4,Bare 6 x 2 mm magnet; front pad optional
107,2682.0,2568.0,0.4,Bare 6 x 2 mm magnet; front pad optional
108,2682.0,2682.0,0.4,Bare 6 x 2 mm magnet; front pad optional
109,2682.0,2951.1599,0.4,Bare 6 x 2 mm magnet; front pad optional
110,2682.0,3277.3198,0.4,Bare 6 x 2 mm magnet; front pad optional
111,2682.0,3603.48,0.4,Bare 6 x 2 mm magnet; front pad optional
112,2682.0,3929.6399,0.4,Bare 6 x 2 mm magnet; front pad optional
113,2682.0,4198.8,0.4,Bare 6 x 2 mm magnet; front pad optional
114,2682.0,4312.8,0.4,Bare 6 x 2 mm magnet; front pad optional
115,2682.0,4485.5996,0.4,Bare 6 x 2 mm magnet; front pad optional
116,2682.0,4772.4,0.4,Bare 6 x 2 mm magnet; front pad optional
