piece,name,from_node,to_node,length_mm
1,N00_N10,N00,N10,389.6
2,N10_N20,N10,N20,1560.8
3,N20_N30,N20,N30,389.6
4,N01_N11,N01,N11,389.6
5,N11_N21,N11,N21,1560.8
6,N21_N31,N21,N31,389.6
7,N02_N12,N02,N12,389.6
8,N12_N22,N12,N22,1560.8
9,N22_N32,N22,N32,389.6
10,N03_N13,N03,N13,389.6
11,N13_N23,N13,N23,1560.8
12,N23_N33,N23,N33,389.6
13,N04_N14,N04,N14,389.6
14,N14_N24,N14,N24,1560.8
15,N24_N34,N24,N34,389.6
16,N05_N15,N05,N15,389.6
17,N15_N25,N15,N25,1560.8
18,N25_N35,N25,N35,389.6
19,N00_N01,N00,N01,389.6
20,N01_N02,N01,N02,1560.8
21,N02_N03,N02,N03,389.6
22,N03_N04,N03,N04,1560.8
23,N04_N05,N04,N05,389.6
24,N10_N11,N10,N11,389.6
25,N11_N12,N11,N12,1560.8
26,N12_N13,N12,N13,389.6
27,N13_N14,N13,N14,1560.8
28,N14_N15,N14,N15,389.6
29,N20_N21,N20,N21,389.6
30,N21_N22,N21,N22,1560.8
31,N22_N23,N22,N23,389.6
32,N23_N24,N23,N24,1560.8
33,N24_N25,N24,N25,389.6
34,N30_N31,N30,N31,389.6
35,N31_N32,N31,N32,1560.8
36,N32_N33,N32,N33,389.6
37,N33_N34,N33,N34,1560.8
38,N34_N35,N34,N35,389.6
