stock,cut_order,name,length_mm,kerf_mm,reserved_end_allowance_mm
1,1,N10_N20,1560.8,3,10
1,2,N00_N10,389.6,3,10
1,3,N20_N30,389.6,3,10
1,4,N01_N11,389.6,3,10
2,1,N11_N21,1560.8,3,10
2,2,N21_N31,389.6,3,10
2,3,N02_N12,389.6,3,10
2,4,N22_N32,389.6,3,10
3,1,N12_N22,1560.8,3,10
3,2,N03_N13,389.6,3,10
3,3,N23_N33,389.6,3,10
3,4,N04_N14,389.6,3,10
4,1,N13_N23,1560.8,3,10
4,2,N24_N34,389.6,3,10
4,3,N05_N15,389.6,3,10
4,4,N25_N35,389.6,3,10
5,1,N14_N24,1560.8,3,10
5,2,N00_N01,389.6,3,10
5,3,N02_N03,389.6,3,10
5,4,N04_N05,389.6,3,10
6,1,N15_N25,1560.8,3,10
6,2,N10_N11,389.6,3,10
6,3,N12_N13,389.6,3,10
6,4,N14_N15,389.6,3,10
7,1,N01_N02,1560.8,3,10
7,2,N20_N21,389.6,3,10
7,3,N22_N23,389.6,3,10
7,4,N24_N25,389.6,3,10
8,1,N03_N04,1560.8,3,10
8,2,N30_N31,389.6,3,10
8,3,N32_N33,389.6,3,10
8,4,N34_N35,389.6,3,10
9,1,N11_N12,1560.8,3,10
10,1,N13_N14,1560.8,3,10
11,1,N21_N22,1560.8,3,10
12,1,N23_N24,1560.8,3,10
13,1,N31_N32,1560.8,3,10
14,1,N33_N34,1560.8,3,10
