pipe,distance_from_cut_start_mm,face_x_mm,face_y_mm,part_angle_degrees
N00_N10,194.8,304.8,75.0,180.0
N10_N20,291.16,860.76,75.0,180.0
N10_N20,617.32,1186.92,75.0,180.0
N10_N20,943.48,1513.08,75.0,180.0
N10_N20,1269.64,1839.24,75.0,180.0
N20_N30,194.8,2395.2,75.0,180.0
N01_N11,194.8,304.8,534.6,0.0
N11_N21,291.16,860.76,534.6,0.0
N11_N21,617.32,1186.92,534.6,0.0
N11_N21,943.48,1513.08,534.6,0.0
N11_N21,1269.64,1839.24,534.6,0.0
N21_N31,194.8,2395.2,534.6,0.0
N02_N12,194.8,304.8,2165.4,180.0
N12_N22,291.16,860.76,2165.4,180.0
N12_N22,617.32,1186.92,2165.4,180.0
N12_N22,943.48,1513.08,2165.4,180.0
N12_N22,1269.64,1839.24,2165.4,180.0
N22_N32,194.8,2395.2,2165.4,180.0
N03_N13,194.8,304.8,2625.0,0.0
N13_N23,291.16,860.76,2625.0,0.0
N13_N23,617.32,1186.92,2625.0,0.0
N13_N23,943.48,1513.08,2625.0,0.0
N13_N23,1269.64,1839.24,2625.0,0.0
N23_N33,194.8,2395.2,2625.0,0.0
N04_N14,194.8,304.8,4255.8,180.0
N14_N24,291.16,860.76,4255.8,180.0
N14_N24,617.32,1186.92,4255.8,180.0
N14_N24,943.48,1513.08,4255.8,180.0
N14_N24,1269.64,1839.24,4255.8,180.0
N24_N34,194.8,2395.2,4255.8,180.0
N05_N15,194.8,304.8,4715.4,0.0
N15_N25,291.16,860.76,4715.4,0.0
N15_N25,617.32,1186.92,4715.4,0.0
N15_N25,943.48,1513.08,4715.4,0.0
N15_N25,1269.64,1839.24,4715.4,0.0
N25_N35,194.8,2395.2,4715.4,0.0
N00_N01,194.8,75.0,304.8,90.0
N01_N02,291.16,75.0,860.76,90.0
N01_N02,617.32,75.0,1186.92,90.0
N01_N02,943.48,75.0,1513.08,90.0
N01_N02,1269.64,75.0,1839.24,90.0
N02_N03,194.8,75.0,2395.2,90.0
N03_N04,291.16,75.0,2951.16,90.0
N03_N04,617.32,75.0,3277.32,90.0
N03_N04,943.48,75.0,3603.48,90.0
N03_N04,1269.64,75.0,3929.64,90.0
N04_N05,194.8,75.0,4485.6,90.0
N10_N11,194.8,534.6,304.8,270.0
N11_N12,291.16,534.6,860.76,270.0
N11_N12,617.32,534.6,1186.92,270.0
N11_N12,943.48,534.6,1513.08,270.0
N11_N12,1269.64,534.6,1839.24,270.0
N12_N13,194.8,534.6,2395.2,270.0
N13_N14,291.16,534.6,2951.16,270.0
N13_N14,617.32,534.6,3277.32,270.0
N13_N14,943.48,534.6,3603.48,270.0
N13_N14,1269.64,534.6,3929.64,270.0
N14_N15,194.8,534.6,4485.6,270.0
N20_N21,194.8,2165.4,304.8,90.0
N21_N22,291.16,2165.4,860.76,90.0
N21_N22,617.32,2165.4,1186.92,90.0
N21_N22,943.48,2165.4,1513.08,90.0
N21_N22,1269.64,2165.4,1839.24,90.0
N22_N23,194.8,2165.4,2395.2,90.0
N23_N24,291.16,2165.4,2951.16,90.0
N23_N24,617.32,2165.4,3277.32,90.0
N23_N24,943.48,2165.4,3603.48,90.0
N23_N24,1269.64,2165.4,3929.64,90.0
N24_N25,194.8,2165.4,4485.6,90.0
N30_N31,194.8,2625.0,304.8,270.0
N31_N32,291.16,2625.0,860.76,270.0
N31_N32,617.32,2625.0,1186.92,270.0
N31_N32,943.48,2625.0,1513.08,270.0
N31_N32,1269.64,2625.0,1839.24,270.0
N32_N33,194.8,2625.0,2395.2,270.0
N33_N34,291.16,2625.0,2951.16,270.0
N33_N34,617.32,2625.0,3277.32,270.0
N33_N34,943.48,2625.0,3603.48,270.0
N33_N34,1269.64,2625.0,3929.64,270.0
N34_N35,194.8,2625.0,4485.6,270.0
