use,segment,cut_mm
socket draw / sleeve location,Outer bottom,3050
socket draw / sleeve location,Outer top,3050
socket draw / sleeve location,Inner bottom,1950
socket draw / sleeve location,Inner top,1950
socket draw / sleeve location,Inner left,1950
socket draw / sleeve location,Inner right,1950
socket draw / sleeve location,Outer left,3050
socket draw / sleeve location,Outer right,3050
socket draw / sleeve location,Diagonal OLB,1200
socket draw / sleeve location,Diagonal ORB,1200
socket draw / sleeve location,Diagonal ORT,1200
socket draw / sleeve location,Diagonal OLT,1200
paper seam,1,1000
paper seam,2,1000
paper seam,3,1000
paper seam,4,1000
side-band X brace,1,2050
side-band X brace,2,2050
side-band X brace,3,2050
side-band X brace,4,2050
