pipe,distance_from_cut_start_mm,face_x_mm,face_y_mm,part_angle_degrees
Outer bottom,275.0,375.0,50.0,180.0
Outer bottom,600.0,700.0,50.0,180.0
Outer bottom,925.0,1025.0,50.0,180.0
Outer bottom,1250.0,1350.0,50.0,180.0
Outer bottom,1575.0,1675.0,50.0,180.0
Outer bottom,1900.0,2000.0,50.0,180.0
Outer bottom,2225.0,2325.0,50.0,180.0
Outer top,275.0,375.0,2650.0,0.0
Outer top,600.0,700.0,2650.0,0.0
Outer top,925.0,1025.0,2650.0,0.0
Outer top,1250.0,1350.0,2650.0,0.0
Outer top,1575.0,1675.0,2650.0,0.0
Outer top,1900.0,2000.0,2650.0,0.0
Outer top,2225.0,2325.0,2650.0,0.0
Inner bottom,266.16,875.76,559.6,0.0
Inner bottom,582.32,1191.92,559.6,0.0
Inner bottom,898.48,1508.08,559.6,0.0
Inner bottom,1214.64,1824.24,559.6,0.0
Inner top,266.16,875.76,2140.4,180.0
Inner top,582.32,1191.92,2140.4,180.0
Inner top,898.48,1508.08,2140.4,180.0
Inner top,1214.64,1824.24,2140.4,180.0
Inner left,266.16,559.6,875.76,270.0
Inner left,582.32,559.6,1191.92,270.0
Inner left,898.48,559.6,1508.08,270.0
Inner left,1214.64,559.6,1824.24,270.0
Inner right,266.16,2140.4,875.76,90.0
Inner right,582.32,2140.4,1191.92,90.0
Inner right,898.48,2140.4,1508.08,90.0
Inner right,1214.64,2140.4,1824.24,90.0
Outer left,275.0,50.0,375.0,90.0
Outer left,600.0,50.0,700.0,90.0
Outer left,925.0,50.0,1025.0,90.0
Outer left,1250.0,50.0,1350.0,90.0
Outer left,1575.0,50.0,1675.0,90.0
Outer left,1900.0,50.0,2000.0,90.0
Outer left,2225.0,50.0,2325.0,90.0
Outer right,275.0,2650.0,375.0,270.0
Outer right,600.0,2650.0,700.0,270.0
Outer right,925.0,2650.0,1025.0,270.0
Outer right,1250.0,2650.0,1350.0,270.0
Outer right,1575.0,2650.0,1675.0,270.0
Outer right,1900.0,2650.0,2000.0,270.0
Outer right,2225.0,2650.0,2325.0,270.0
Outer left,491.6,50.0,591.6,90
Outer right,491.6,2650.0,591.6,270
Outer left,2008.4,50.0,2108.4,90
Outer right,2008.4,2650.0,2108.4,270
