pair,x_from_left_mm,y_from_bottom_mm,printed_backing,front
1,18.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
2,2682.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
3,2682.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
4,18.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
5,375.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
6,700.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
7,1025.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
8,1675.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
9,2000.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
10,2325.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
11,375.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
12,700.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
13,1025.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
14,1675.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
15,2000.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
16,2325.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
17,1318.0,18,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
18,1382.0,4772.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
19,591.6,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
20,2108.4,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
21,2108.4,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
22,591.6,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
23,304.8,2172.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
24,875.76,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
25,1191.92,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
26,1508.08,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
27,1824.24,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
28,2395.2,2172.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
29,304.8,2618.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
30,875.76,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
31,1191.92,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
32,1508.08,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
33,1824.24,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
34,2395.2,2618.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
35,18.0,398.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
36,18.0,746.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
37,18.0,1095.2,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
38,18.0,1443.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
39,18.0,1792.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
40,18.0,2395.2,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
41,18.0,2998.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
