stock,cut_order,name,length_mm,kerf_mm,reserved_stock_end_mm
1,1,Outer lower riser JLL,1990.4,3,10
1,2,Diagonal ORT,620.683,3,10
1,3,Outer short riser JLL,409.6,3,10
2,1,Outer lower riser JRL,1990.4,3,10
2,2,Diagonal OLT,620.683,3,10
2,3,Outer short riser JRL,409.6,3,10
3,1,Inner bottom,1480.8,3,10
3,2,Inner top,1480.8,3,10
4,1,Inner left,1480.8,3,10
4,2,Inner right,1480.8,3,10
5,1,Outer bottom left,1200.0,3,10
5,2,Outer bottom right,1200.0,3,10
5,3,Diagonal OLB,620.683,3,10
6,1,Outer top left,1200.0,3,10
6,2,Outer top right,1200.0,3,10
6,3,Diagonal ORB,620.683,3,10
