recipe,optional,runs,pieces_per_run,grams_per_run,minutes_per_run,file
Q_EDGE_PLAIN_FULL,False,21,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
Q_EDGE_PLAIN_TAIL,False,1,1,24.46,61.96,sliced/Q_EDGE_PLAIN_TAIL/Q_EDGE_PLAIN_TAIL_A1Mini_PETG.3mf
Q_EDGE_BRANCH_FULL,False,24,2,73.43,180.05,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
Q_RUNG_FULL,False,18,3,72.04,168.09,sliced/Q_RUNG_FULL/Q_RUNG_FULL_A1Mini_PETG.3mf
Q_RUNG_TAIL,False,1,2,48.05,114.45,sliced/Q_RUNG_TAIL/Q_RUNG_TAIL_A1Mini_PETG.3mf
Q_CLICK_KEY_FULL,False,25,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
Q_PAPER_PAD_FULL,True,3,36,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
Q_PAPER_PAD_TAIL,True,1,28,41.68,110.31,sliced/Q_PAPER_PAD_TAIL/Q_PAPER_PAD_TAIL_A1Mini_PETG.3mf
Q_RUNG_SLEEVE_FULL,False,5,3,148.1,349.14,sliced/Q_RUNG_SLEEVE_FULL/Q_RUNG_SLEEVE_FULL_A1Mini_PETG.3mf
Q_RUNG_SLEEVE_TAIL,False,1,1,49.41,140.09,sliced/Q_RUNG_SLEEVE_TAIL/Q_RUNG_SLEEVE_TAIL_A1Mini_PETG.3mf
Q_V_BLOCK_FULL,False,2,12,194.42,440.85,sliced/Q_V_BLOCK_FULL/Q_V_BLOCK_FULL_A1Mini_PETG.3mf
Q_V_BLOCK_TAIL,False,1,8,129.64,297.05,sliced/Q_V_BLOCK_TAIL/Q_V_BLOCK_TAIL_A1Mini_PETG.3mf
Q_CROSS_PLATE_FULL,False,2,4,70.76,154.7,sliced/Q_CROSS_PLATE_FULL/Q_CROSS_PLATE_FULL_A1Mini_PETG.3mf
