node,x_mm,y_mm,part,rotation_degrees
N00,75.0,75.0,ELBOW,0
N10,534.6,75.0,TEE,0
N20,2165.4,75.0,TEE,0
N30,2625.0,75.0,ELBOW,90
N01,75.0,534.6,TEE,270
N11,534.6,534.6,CROSS,0
N21,2165.4,534.6,CROSS,0
N31,2625.0,534.6,TEE,90
N02,75.0,2165.4,TEE,270
N12,534.6,2165.4,CROSS,0
N22,2165.4,2165.4,CROSS,0
N32,2625.0,2165.4,TEE,90
N03,75.0,2625.0,TEE,270
N13,534.6,2625.0,CROSS,0
N23,2165.4,2625.0,CROSS,0
N33,2625.0,2625.0,TEE,90
N04,75.0,4255.8,TEE,270
N14,534.6,4255.8,CROSS,0
N24,2165.4,4255.8,CROSS,0
N34,2625.0,4255.8,TEE,90
N05,75.0,4715.4,GUY_ELBOW,270
N15,534.6,4715.4,TEE,180
N25,2165.4,4715.4,TEE,180
N35,2625.0,4715.4,GUY_ELBOW,180
